transaction_id,customer_id,amount,payment_method,failure_reason,retry_count,previous_success_count,previous_failure_count,historical_success_rate,device_type,channel,transaction_hour,recovery_probability,recovered,recovered_amount
TXN_000001,861,324.69,Credit Card,Expired Card,1,9,2,0.8181818181818182,Mobile,App,21,0.38259736590909094,1,324.69
TXN_000002,1295,100.0,UPI,Authentication Failure,3,5,0,1.0,Desktop,App,19,0.6522500000000001,1,100.0
TXN_000003,1131,599.1,Credit Card,Insufficient Funds,1,10,1,0.9090909090909091,Desktop,App,11,0.5364567954545454,1,599.1
TXN_000004,1096,2485.04,UPI,Gateway Error,2,9,1,0.9,Mobile,Web,12,0.7562874,1,2485.04
TXN_000005,1639,683.79,Net Banking,Gateway Error,2,4,4,0.5,Mobile,App,19,0.520790525,1,683.79
TXN_000006,2170,221.92,UPI,Insufficient Funds,1,5,4,0.5555555555555556,Mobile,App,5,0.3252785333333333,0,0.0
TXN_000007,467,181.38,Credit Card,Network Timeout,0,6,2,0.75,Desktop,App,12,0.8420465500000001,0,0.0
TXN_000008,1239,1734.23,Wallet,Expired Card,0,10,3,0.7692307692307693,Desktop,Web,15,0.4197028865384615,1,1734.23
TXN_000009,331,348.64,Debit Card,Network Timeout,1,7,2,0.7777777777777778,Desktop,App,18,0.7882950666666666,1,348.64
TXN_000010,1483,2283.44,Credit Card,Bank Decline,2,7,2,0.7777777777777778,Mobile,App,21,0.43345806666666664,1,2283.44
TXN_000011,2136,1122.46,Net Banking,Network Timeout,2,4,1,0.8,Desktop,App,22,0.7296938500000001,0,0.0
TXN_000012,2920,359.37,Credit Card,Authentication Failure,1,5,3,0.625,Desktop,App,22,0.566601575,0,0.0
TXN_000013,131,1692.07,UPI,Network Timeout,1,8,2,0.8,Desktop,App,14,0.798269825,0,0.0
TXN_000014,1686,317.63,Net Banking,Bank Decline,1,8,1,0.8888888888888888,Mobile,Web,4,0.5750392583333332,0,0.0
TXN_000015,770,208.96,UPI,Expired Card,0,10,4,0.7142857142857143,Mobile,App,18,0.39054902857142854,1,208.96
TXN_000016,2392,332.49,UPI,Gateway Error,0,10,1,0.9090909090909091,Mobile,App,18,0.9071233204545454,1,332.49
TXN_000017,1516,1230.27,UPI,Expired Card,0,8,3,0.7272727272727273,Mobile,App,5,0.39578796136363636,0,0.0
TXN_000018,2854,1653.04,Debit Card,Insufficient Funds,2,9,5,0.6428571428571429,Mobile,Web,3,0.30408168571428573,0,0.0
TXN_000019,2434,484.53,UPI,Network Timeout,0,12,2,0.8571428571428571,Desktop,App,1,0.9055743892857141,1,484.53
TXN_000020,1216,149.21,Credit Card,Bank Decline,3,5,2,0.7142857142857143,Desktop,App,6,0.33069840357142855,1,149.21
TXN_000021,956,191.44,UPI,Authentication Failure,1,12,4,0.75,Desktop,Web,19,0.6420214000000001,1,191.44
TXN_000022,2325,283.12,UPI,Bank Decline,1,9,6,0.6,Mobile,App,3,0.40179219999999993,0,0.0
TXN_000023,1185,236.23,Wallet,Authentication Failure,2,8,2,0.8,Mobile,Web,10,0.6019094250000001,0,0.0
TXN_000024,460,822.5,UPI,Gateway Error,0,6,0,1.0,Mobile,Web,19,0.95,1,822.5
TXN_000025,22,3135.34,UPI,Insufficient Funds,3,11,5,0.6875,Mobile,App,16,0.25716165,1,3135.34
TXN_000026,2301,1257.17,UPI,Authentication Failure,1,8,2,0.8,Mobile,Web,4,0.6693570750000002,0,0.0
TXN_000027,748,269.73,Credit Card,Authentication Failure,2,7,2,0.7777777777777778,Desktop,App,10,0.5884923416666666,0,0.0
